idx,shopify_id,titulo_shopify,url_resuelta,score,sospechoso
122,15509681766787,CALIBRA JOY DOG CLASSIC LARGE FILLET CORDERO 80GR,https://www.mycalibra.es/calibra-joy-dog-classic-large-lamb-fillets-80g-new,0.67,
123,15509682061699,CALIBRA JOY DOG CLASSIC SANDWICH PESCADO POLLO,https://www.mycalibra.es/calibra-joy-dog-classic-fish-chicken-sandwich,0.91,
124,15509682160003,CALIBRA JOY DOG CLASSIC SLICE PESCADO POLLO 80GR,https://www.mycalibra.es/calibra-joy-dog-classic-fish-chicken-slice-80g-new,0.83,
125,15509682192771,CALIBRA JOY DOG CLASSIC STICKS SALMON,https://www.mycalibra.es/calibra-joy-dog-classic-salmon-sticks-80g-new,0.88,
126,15509682291075,CALIBRA JOY DOG CLASSIC STICKS TERNERA,https://www.mycalibra.es/calibra-joy-dog-classic-beef-sticks,0.73,
127,15509682389379,CALIBRA JOY DOG CLASSIC STRIPS CORDERO,https://www.mycalibra.es/calibra-joy-dog-classic-lamb-strips,0.89,
128,15509682454915,CALIBRA JOY DOG CLASSIC STRIPS PATO,https://www.mycalibra.es/calibra-joy-dog-classic-duck-strips-80g-new,0.89,
129,15509682553219,CALIBRA JOY DOG MINI DADOS SALMON 70GR,https://www.mycalibra.es/calibra-joy-dog-mini-salmon-cube-70g-new,0.67,
130,15509682585987,CALIBRA JOY DOG MINI SANDWICH BACALAO PATO 70GR,https://www.mycalibra.es/calibra-joy-dog-mini-duck-cod-sandwich-70g-new,0.71,
131,15509682651523,CALIBRA JOY DOG MINI SANDWICH BACALAO POLLO 70GR,https://www.mycalibra.es/calibra-joy-dog-mini-chicken-cod-sandwich-70g-new,0.71,
132,15509682684291,CALIBRA JOY DOG TRAINING M&L PATO Y POLLO 300G,https://www.mycalibra.es/calibra-joy-dog-training-m-l-duck-chicken-300g,1.00,
133,15509682749827,CALIBRA JOY DOG TRAINING M&L VENADO Y PATO 300G,https://www.mycalibra.es/calibra-joy-dog-training-m-l-venison-duck-300g,1.00,
134,15509682782595,CALIBRA JOY DOG TRAINING PUPPY&ADULT S POLLO 150G,https://www.mycalibra.es/calibra-joy-dog-training-puppy-adult-s-chicken-150g,1.00,
135,15509682848131,CALIBRA JOY DOG TRAINING PUPPY&ADULT S SALMON 150GR,https://www.mycalibra.es/calibra-joy-dog-training-sensitive-puppy-adult-s-salmon-150g,0.73,
136,15509682946435,CALIBRA JOY DOG TRAINING S&M SALMON&INSECT 150GR,https://www.mycalibra.es/calibra-joy-dog-training-s-m-salmon-insect-150g,0.78,
137,15509682880899,CALIBRA JOY DOG TRAINING S&M TERNERA 150GR,https://www.mycalibra.es/calibra-joy-dog-training-s-m-beef-150g,0.64,
138,15509682979203,CALIBRA ROCKETS CHINCHILLAS Y DEGÚS 900G,https://www.mycalibra.es/calibra-rockets,0.25,REVISAR
139,15509683044739,CALIBRA ROCKETS COBAYAS 900G,https://www.mycalibra.es/calibra-rockets,0.33,REVISAR
140,15509683143043,CALIBRA ROCKETS CONEJOS 900G,https://www.mycalibra.es/calibra-rockets,0.33,REVISAR
141,15509683175811,CALIBRA ROCKETS HAMSTER Y PEQUEÑOS ROEDORES 900G,https://www.mycalibra.es/calibra-rockets,0.20,REVISAR
142,15509683241347,CALIBRA ROCKETS STICKS CONEJO - ROEDOR - FRUTA SILVESTRE 120G,https://www.mycalibra.es/calibra-cat-life-sensitive-rabbit-200g,0.12,REVISAR
143,15509683274115,CALIBRA ROCKETS STICKS CONEJO - ROEDOR - FRUTAS 120G,https://www.mycalibra.es/calibra-rockets,0.14,REVISAR
144,15509683405187,CALIBRA ROCKETS STICKS CONEJOS Y ROEDORES - VERDURAS 120G,https://www.mycalibra.es/calibra-rockets,0.17,REVISAR
145,15509683470723,CALIBRA ROCKETS STICKS ROEDORES - NUEZ Y COCO 120G,https://www.mycalibra.es/calibra-rockets,0.17,REVISAR
146,15509683569027,CALIBRA ROCKETS STICKS ROEDORES - VERDURAS Y NUECES 120G,https://www.mycalibra.es/calibra-rockets,0.17,REVISAR
